commit,classifier
JBIDE-7831 Explore action doesn t work when server deployment directory contains space character git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@27622 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-7814 - updates to server log view git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@27533 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-7040 added plugins that seem to be required for UI to work with RSE. Need to be optional though. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@27528 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-6849 - removing the deployment assembly page in favor of wtp s  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@24200 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-6828 - cleanup and enhancement git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@36864 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-636 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@2887 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-6198 - mail and jsf api s used from jboss AS 5.1 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@28051 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-5885 - NPE check - copied from branch to match  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@20434 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-5836 - adding jstl.jar and support for jboss 6.0 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@20256 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-5180 test issue  rename package git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@18583 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-5167 - added default key binding project archives ctrl+shift+B A git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@18533 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-5153 - user wants to edit main class git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@18426 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-5049 - removed JRE tab as it was deemed useless git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@18363 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4889 - committing once more with changes to ESB git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@19666 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-475 - archives progress monitors added git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@10384 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4519 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@16127 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4507 - wrong suffix on standalone utility jars git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@16034 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4275 - removing duplicate name section.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@15065 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4249 - vaguely-referenced dependency jars will now rebuild those that depend on them in the builder git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@16500 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4182 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@14784 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-4044 - NLS git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@14585 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-3806:Add version 4.5 to JBoss ESB list git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13636 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-3770 - changed ids to non-internal git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13745 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-3702 - index out of bounds in argutil git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13445 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-3493 nautilus command in explore action fails git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@12912 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-3047 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@11856 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2893 NPE for fileset view provider git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@10834 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2814 - adding search capability for new jboss runtime git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@22758 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2776 saving packaging-convert git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@10257 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2697 - Stopping servers is buggy.  a for now fix which works.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@10037 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2627 - allowing any value set in the editor to be automatically added to the deployment scanner before each publish.   Also  separated out into metadata the default deploy location  giving each server its own folder.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@12058 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2452 - build project archvies has a shortcut now git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@17040 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2288 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@8506 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-2217 - separating wst standard stuff into its own package... renamed to org.jboss.tools.as.wst.etc to please Maximus git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@8167 a97e2381-89e5-4abb-bab3-167db6db766c ,1
JBIDE-2048 - consolidating common server code / child modules etc git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@7513 a97e2381-89e5-4abb-bab3-167db6db766c ,1
JBIDE-1979 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@8089 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-1793 - also fixed to use more standard wtp api git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@6513 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-1485 - API slightly modified (safely fix!)  restoreDefaults implemented. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@5960 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-1357 single deploy is publishing the complete project! (removed redundant line from previous patch) git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@5048 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-1354 - UI preparation by creation of a superclass git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@33162 a97e2381-89e5-4abb-bab3-167db6db766c ,1
JBIDE-12733 to trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@44044 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-12613 publish method interface is using concrete classes git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@43743 a97e2381-89e5-4abb-bab3-167db6db766c ,1
JBIDE-12494 to trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@43982 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-12361 part 2 to trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@42685 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-12360 uncommit a bad change git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@42684 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-12046 and JBIDE-12201 to trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@42056 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11977 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@41330 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11615 : Remove ref to repositories. Expect them to be in ~/.m2/settings.xml git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@40452 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11594 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@40383 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11487 to trunk git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@40653 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11456 if graceful stop for as7-related servers fails  force-stop.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@40108 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11330 - as7.1 needs higher exec environment git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@39533 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-1128 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@4432 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-11058 - test case never updated git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@40106 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-10971 to trunk ensuring caches for xpaths are cleared after modifications git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@38930 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-10718 forgot to uncomment two test lines git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@38198 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-10514  -  recent change caused a regression for run on server. (Changed heirarchy of ExpressServer  forgot to implement IURLProvider) git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@37809 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-1048 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@4278 a97e2381-89e5-4abb-bab3-167db6db766c ,0
jbide-1047 renamed rhdsTemp to jbosstoolsTemp as per max s request git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@4607 a97e2381-89e5-4abb-bab3-167db6db766c ,1
JBIDE-1047 Forked PublishUtil git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@4359 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-10465 - removal of deprecated cruft git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@37269 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-10344 - removed requirements on as.core  since I forgot to do that git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@37677 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBIDE-10224 - further work on credential callback usecase  required changes to poller API  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@36742 a97e2381-89e5-4abb-bab3-167db6db766c ,0
JBDS-528 new info is added from wiki plugin page  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@12940 a97e2381-89e5-4abb-bab3-167db6db766c ,0
It Compiles!  Not sure on if it *works* yet git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1912 a97e2381-89e5-4abb-bab3-167db6db766c ,0
it buttons  proper green buttons git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@658 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
issue ,0
invalid symbol raises more helpful error message ,0
Internationalize ScoreDialog ,0
interfaces ,0
interface forEach append ,0
Integrate plugin system with mibew ,0
Initial support for saving games in Latex format ,0
Initial Selection Provider ensures jboss inc version is selected git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1481 a97e2381-89e5-4abb-bab3-167db6db766c ,0
initial commit of jsp2php converter git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@10 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Increment version number; update gemspec ,0
Increase wait before send to at least 20s ,0
Increase timeout ,0
increase JMX code coverage a little to test coverage report git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@23392 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Increase history of recent commands ,0
Incoming messages codestyled,0
Improve tooltips ,0
Improve tooltip ,0
improve the tip ,0
improve line ,0
Improve layout ,0
Improve handling of IB model defaults (were not set correctly under Rails),0
Improve error messages ,0
Improve error message ,0
Improve documentation ,0
Improve crash dialog ,0
Improve Connection code quality by eliminating @server Hash. It was an awkward non-object anyways. Connection now exposes server-related accessors directly.,1
improve ,0
Implement as a parent-less JDialog ,0
Ignoring stuff,0
icons ,0
IB::Model::Order specified ,1
IB::Model::Contract::ComboLeg specified ,0
IB::Model and IB::ModelProperties removed from IB::Models namespace for consistency,1
IB::Messages::Outgoing code compacted using macros ,0
IB::Messages::Incoming rewritten ,0
IB::Connection#subscribe syntax changed ,1
I ve to add //$NON-NLS-1$ behind BUILD FAILURE\n and BUILD SUCCESSFUL\n to make sure it is not interfere with build status analizer  it could be taken as real build output when it appears in warnings output git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@17039 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/RF-3937 git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@9173 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBIDE-5524 Debugger does not see source by default git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@19480 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBIDE-5103 License text is incorrect in update manager  Review Licenses  step during installing selected software licence text is fixed after verification on last build git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@18813 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBIDE-4124 fixed  org.jboss.ide.eclipse.as.archives.integration.test plug-in is included in as.test.feature to fix test execution error git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@17166 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBIDE-3557 Externalise English Strings git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@15472 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBDS-737 easier to maintain if file only contains athena stuff  not athena + JMX git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@15542 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBDS-588 -  Old jboss server s view is completely replace with a new one.All the required changes connected to the Clean button removing and the new jboss server view were added to the JBoss Server Manager Reference Guide.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@14900 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBDS-537 guides versions are changed corresponding to plugin ones  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@12842 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBDS-480 - updating the screens; git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13118 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/jira/browse/JBDS-439 - adding a new screen; git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@12892 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/browse/JBIDE-6596 New Seam WAR project has incorrect deployment artifact structure isBinaryObject(moduleTree) updated since it is referenced from other plugins git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@23514 a97e2381-89e5-4abb-bab3-167db6db766c ,1
https://jira.jboss.org/browse/JBIDE-6381 increment plugin and feature versions git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@23286 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/browse/JBIDE-6381 increment plugin and feature versions git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@23284 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://jira.jboss.org/browse/JBDS-1202 problems running tests archives.test freeze fix git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@22535 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://issues.jboss.org/browse/JBIDE-9016 - Handling of code review git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@34034 a97e2381-89e5-4abb-bab3-167db6db766c ,0
https://issues.jboss.org/browse/JBIDE-11396  changes to allow for proper icon for jmx connections git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@39815 a97e2381-89e5-4abb-bab3-167db6db766c ,0
http://jira.jboss.com/jira/browse/JBDS-326 folders En-us and publish and staging are removed from nightly docs build  variables for links will be checked then git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@8114 a97e2381-89e5-4abb-bab3-167db6db766c ,0
hr buttons git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@664 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
hover radius ,0
historic_data script now functional ,0
hippo 8 ,0
hippo ,0
highlight ,0
hierarchical settings style git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@444 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
hiding items in main menu  proper title for login git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@410 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
headers for org.jboss.ide.eclipse.archives.webtools git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13392 a97e2381-89e5-4abb-bab3-167db6db766c ,0
having token checks on POST forms ,0
grid ,0
Got a full rails stack test mode working. Run with bundle exec rspec -rr spec/ib-ruby/models ,0
google tracker  trilex logo git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@396 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
give you some color to see see ,0
git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@655 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@34853 a97e2381-89e5-4abb-bab3-167db6db766c ,0
git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@32585 a97e2381-89e5-4abb-bab3-167db6db766c ,0
git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@2100 a97e2381-89e5-4abb-bab3-167db6db766c ,0
getNodeById ,0
getLength() bug fix ,0
Get rid of next_order_id in favor of next_local_id,1
Georgian locale (by George Zviadadze) ,0
Generate a meaningful title for latex.Writer ,1
General Documentation Updates git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@28901 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Gemspec fixed,0
ga ,0
Fundamental Data bug fixed bin script added,0
fucking Date.parse ,0
freetesting with max git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@12661 a97e2381-89e5-4abb-bab3-167db6db766c ,0
fr data set git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@661 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Formatting ,0
format code ,0
Forex symbols code simplified,0
Forcing a selection event makes the icon bars reload. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1576 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Flush System.err after messages ,0
Fixing specs for new DB-backed Models,0
Fixing gemspec dependencies,0
Fixing Contract accessors,0
Fixing broken unit test git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@15269 a97e2381-89e5-4abb-bab3-167db6db766c ,0
fixed warnings (aded $NON-NLS  removed unneeded import) git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@39141 a97e2381-89e5-4abb-bab3-167db6db766c ,1
Fixed usage of Integer and Boolean classes. git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@44053 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Fixed typo in example/historic_data thanks Dan Bikle!,0
Fixed the bug with wrong by page statistics ,0
Fixed the Blue Screen in Google Chrome 17+ ,0
fixed some bugs in line Chart. ,0
fixed namespace about canvseChart ,1
fixed bugs ,0
Fixed bug in def_message macro (redefining already defined accessors),0
fix: do not cache button image (thanks to Alex Morozov) ,0
Fix writing LB values ,0
Fix user duplication in visitors and threads lists User can be either in threads list or in visitors list but not in both at the same time. ,1
Fix typo ,0
Fix typo ,0
Fix the problem (by Mohsen) when fpassthru is disabled. git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@657 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
fix some bug ,0
fix slashes and form value git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@448 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
fix pie bug ,0
fix old chat style git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@461 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
fix move_uploaded_file errors ,0
Fix minor buglets,0
Fix layout problems on Mac ,0
fix jmx.core.test errors git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@13243 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Fix javadoc warnings ,0
Fix in comment change notification ,0
fix image= parameter for hostgator git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@653 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Fix for last change ,0
Fix for handling Time-element in XML ,1
fix for compilation errors in as.test.core plugin missing ASToolsInternalVariableInitializer.java added with fake implementation git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@43454 a97e2381-89e5-4abb-bab3-167db6db766c ,0
fix for build error in as source feature git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@38077 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Fix failing specs for DB backend,0
fix encoding of state  new way to store name in cookie git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@71 c66351dc-e62f-0410-b875-e3a5c0b9693f ,1
fix encoding in operators list ,0
Fix docbook error ,0
fix debug profile in pom.xml git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@42788 a97e2381-89e5-4abb-bab3-167db6db766c ,0
fix cr in .htaccess; disable drop tables; do not show change password/delete install folder if admin has password; check file permissions/checksum ,0
Fix comments ,0
Fix comment ,0
Fix comment ,0
Fix clock halt()  isRunning() ,0
Fix check of existance of tables indexes during database upgrade process ,0
Fix bug: Black send NEWGAME if simple GMP is used ,0
Fix bug with wrong total thread time ,0
Fix bug with threads queue update Move user to priority queue when operator has connection problems ,0
fix bug when min == max ,0
fix bug svg bar tooltip when data is array ,0
Fix bug in visitor s tracking ,0
Fix bug in recent changes ,0
Fix bug in last change ,0
Fix bug in last change ,0
Fix bug in groups saving ,0
Fix bug in chat button image s generation script ,0
fix bug ie Date.parse ,0
fix bug ie date parse ,0
Fix bug at /operator/blocked.php page ,0
fix bug ,0
fix app icon  versions and installer git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@509 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Fix ability to change avatar ,0
Fix a few HTML errors ,0
fix ,0
finish rebuild ,0
Final API 967 and beta API 968 Java sources added,0
fiexd little bugs ,0
favicon git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@72 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
fast history search  fix redirection to groups  extract webim_mail function into notify.php ,0
Extract function AnalyzeCommand.isTextType from GoGui.analyzeContinue ,1
Extra specs for associations,0
Extended specs for Connection#subscribe,0
Export a package in override.core.  Further development on the property page... specifically removing the first column and making sure everything still turns up properly with the extra information for the remaining columns. ArchiveName can now also be set for all reference types instead of only allowing deploy path git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@16133 a97e2381-89e5-4abb-bab3-167db6db766c ,1
Executions Rails specs modified to pass,0
ExecutionData ContractData - new message versions,0
Execution Model added ,0
Exchange meaning of F8 and F9 ,1
example.html...path to change ,0
Example Option contracts refreshed (expired contracts removed),0
ex ,0
Event log label providers git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@1553 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Error handling while reading messages improved,0
Error handling improved,0
error check ,0
enhance colorize ,0
enable drag ,0
drawInfluence smaller after changes in stone margin ,0
drag bug ,0
draft ,0
dpchart ,0
Double.MAX_VALUE bug corrected,0
donations button added. Inspirer we need 2 talk about that git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@576 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Don t use StringUtils.replace anymore ,1
Don t use splash screen anymore ,0
Don t use greyed for disabled icons ,0
Don t support GoGui option -rules anymore ,0
Don t simulate rollover anymore  but use JToolbar.setRollover ,0
Don t send gogui-setup if only player has changed ,0
Don t send game settings after setup ,0
Don t scale down thumbnail size for board sizes smaller than 19 anymore ,0
Don t mark cboard as deprecated ,0
Don t automatically run GtpStatistics in constructor ,1
DOM script added ,0
Documentation added,0
Document calback array in the RequestProcessor class ,0
Do not reset board before analyze command to allow multiple analyze outputs. ,0
do not get userAgent from db git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@352 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
disconnect on computer lock git-svn-id: https://webim.svn.sourceforge.net/svnroot/webim/trunk@48 c66351dc-e62f-0410-b875-e3a5c0b9693f ,0
Disable referee only for a single game if illegal move ,0
disable feature checkboxes for non-admin ,0
deployment tab disappeared due to bad string externalization git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@22976 a97e2381-89e5-4abb-bab3-167db6db766c ,0
delete types of old ,0
Delete trailing whitespace ,0
delete test file ,0
DEFAULT_PROP constant replaced by default_attributes instance method with inheritance,0
Declare classes Gmp and Gtp as final becuase they start a thread in the constructor ,1
DB config and supporting gems (Java for now!),0
Datatypes turned into Models  source files broken down ,1
dat handling ,0
darkbat ,0
Critical RSE usability fixes git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@24251 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Critical bugs in Order-related messages fixed ,0
Critical bug in Connection#place_order fixed ,0
Create window with final size from the beginning ,0
Create Thread Log JavaScript application ,1
Create prefix for session vars ,1
Create indexes for database tables during installation process ,0
Create  operatorCheckLoginFail  event  update docs ,0
cr/lf ,0
Correcting problems identified by our first spec for DB backend,0
corrected warning git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@31026 a97e2381-89e5-4abb-bab3-167db6db766c ,0
corrected warning for raw type usage git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@31086 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Corrected bug in Model comparison,0
Correct Underlying model,1
Correct typos ,0
Correct typo ,0
Correct the numbers in README,0
Contracts and Orders are now comparable,0
Contract reference added to bar,0
Contract Order specs extended,0
Contract exchange is now SMART by default,0
Continue transition to using Actions ,0
Construct StringBuffer with higher initial capacity ,1
Constants module fully reorganized,1
Connection#reader_running? test added,0
Connection#clear_received API improved,0
Connection wait_for/received/received? API added,0
Connection API modified  unsubscribe added ,0
compress ,0
Completely rewrite invitations ,1
Common prop setters extracted into ModelProperties,1
commit the things ,0
commit the svgline.html ,0
commit the style ,0
commit the page ,0
commit the other page s download page ,0
commit the navigator ,0
commit the ga ,0
commit the file ,0
commit the download.html s change ,0
commit the download.html page ,0
commit the download fundation ,0
commit the css file ,0
commit the bar page ,0
commit the api page ,0
commit the api ,0
commit the _index.js ,0
commit the ,0
commit php ,0
commit new ui ,0
commit it ,0
commit ga index.html ,0
commit canvas ,0
commit ,0
CommissionReport message added,0
Comment out debugging messages. ,0
comm.js before customevent.js ,0
combo ,0
Combine all fast view updates in a single function ,0
com ,0
Codestyle,0
Close output streams after saving ,0
Close file writers after writing data files ,0
Clear status line after computer move error ,0
cleanup for publishing events git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@3824 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Cleanup ,0
Cleanup ,0
Cleaned up...  still needs performOK to work but it s getting there. Periodic checkin since I don t think this is even in the build yet.  git-svn-id: http://svn.jboss.org/repos/jbosstools/trunk@15813 a97e2381-89e5-4abb-bab3-167db6db766c ,0
Cleaned up code related to close confirmation message ,0
Classes Hash is now filled by def_message,1
Check sgf files before collecting statistics ,0
